Prov,Network,name,District,size,longitude,latitude
KHM,2G,KHM0130_PHONE,YOMMALAT,2,104.5,17.6427
KHM,3G,KHM0137_BANMENG,YOMMALAT,6,104.282,17.8923
VTE,3G,VTE0501_PHAKAO,Xaithani,8,102.643,18.0181
VTP,4G,VTP0274_NAMFEUANG,MEAD,6,101.8941,18.9205
KHM,3G,KHM0032_SOMSAAD_OFFICE,Thakhek,6,104.8035,17.3989
VTE,3G,VTE0420_DOUNIEN,Pak-Ngum,6,102.836515,18.124094
UDX,3G,UDX0040_NALAO,XAY,6,101.988342,20.665324
SVN,4G,SVN0262_PHEUANG,KAISONE,3,106.555183,16.621027
SVN,4G,SVN0164_CHAMPHON,CHAMPHONE,9,105.19444,16.44882
SVN,3G,SVN0032_KM8_MK,Kaisone,6,104.78373,16.60139
KHM,3G,KHM0134_POUNGNUEA,Hinboun,16,104.375172,17.799884
VTE,4G,VTE0544_THANGON,XAITHANY,15,102.62724,18.12924
SVN,3G,SVN0324_KAENGKABAO2,XAIBOULY,6,104.761183,16.816683
VTE,4G,VTE0365_NONGNGAO,Naxaythong,6,102.57487,18.1067
LPB,4G,LPB0118_KEOMANEE,Nan,7,101.89748,19.44195
VTP,4G,VTP0174_PARKMEE,xanakham,4,102.4212,18.3527
KHM,3G,KHM0208_PANAM,MAHAXAI,8,105.844267,17.135375
LPB,2G,LPB0200_NONGPHOU,Chomphet,2,102.00901,19.87616
XYL,4G,XYL0137_BANKANG,Phiang,6,101.533,19.094032
SVN,3G,SVN0350_XOKYAI,Kaisone,6,104.829271,16.544161
UDX,3G,UDX0073_CHANTAI,Houn,6,101.41631,20.11163
UDX,4G,UDX0025_HUANAMBARK,Xai,4,102.17276,20.67663
VTE,3G,VTE0169_DOUNG_YAI,Xaisettha,6,102.70866,17.98171
VTE,4G,VTE0459_NAKOUNG,XAITHANY,6,102.65314,18.19331
VTE,3G,VTE0488_NONSENGCHAN2,XAITHANY,6,102.619814,18.071025
XYL,3G,XYL0090_HONGSA_CAMNEPC,Hongsa,6,101.29136,19.6924
BOK,3G,BOK0065_IMMIGRATION,Tonpheung,6,100.086994,20.355353
LNT,4G,LNT0056_KIEWHINZANG,Nale,3,101.365649,20.5484
SVN,4G,SVN0148_NONGKHORN,Songkhon,3,105.439845,16.092205
SVN,4G,SVN0317_KABAO,XONNABOURY,3,105.428,16.4527
BLK,3G,BLK0034_PHOXAI,Pakxan,6,103.659136,18.378788
BLK,4G,BLK0022_PAKBUNG,PAKSAN,2,103.69942,18.34637
BLK,4G,BLK0054_PHONBONG,Khamkeut,3,104.984753,18.083175
VTP,4G,VTP0325_VIENGSAMAI2,Vangvieng,4,102.4391,19.0384
CHP,3G,CHP0106_LATASIN,Xanasomboun,6,106.523298,15.148627
BOK,3G,BOK0162_HAOZHI_CLUB,Tonpheung,4,100.096039,20.329337
CHP,4G,CHP0217_KILI,Xanasomboun,3,105.822465,15.395952
VTE,4G,VTE0503_KM19_PHOKHAM,Xaithani,9,102.7237,18.07298
XKG,4G,XKG0070_KASANGKANG,LAMAM,3,106.910283,15.295117
LPB,4G,LPB0142_XANGHAI,Pak-Ou,2,102.23389,20.00916
