adate,Prov,Network,BTS,District,Total_Cell,Cell_down,Downtime_hour,Count_downtime,AVG_downhour,Issue,Type,Long,Latt
20230228,VTE,3G,VTE0611_NONGVENG2,Hatxayfong,4,0,0,0,0,,Cell,102.638377,17.883154
20230228,KHM,2G,KHM0059_KHAMDOKMAI,Thakhek,3,0,0,0,0,,Cell,104.975585,17.283342
20230228,BLK,4G,BLK0023_PAKGNIEP_SC,PAKSAN,4,0,0,0,0,,Cell,103.610397,18.409923
20230228,BLK,2G,BLK0062_KM12,Khamkeut,2,0,0,0,0,,Cell,105.013035,18.244132
20230321,XKG,3G,XKG0017_PHIAMAI,Laman,11,0,0,0,0,,Cell,106.71296,15.3326
20230321,ATP,4G,ATP0071_XEPIEN,Sanxai,3,0,0,0,0,,Cell,107.405,14.9727
20230228,BLK,2G,BLK0127_THONGNAMEE,Pakkading,3,0,0,0,0,,Cell,104.23902,18.16844
20230321,VTE,4G,VTE0629_THAMOUANG2,Hatxayfong,10,0,0,0,0,,Cell,102.72821,17.8892
20230321,BOK,4G,BOK0026_NAMTHOUNG,Houayxay,4,0,0,0,0,,Cell,100.7652,20.36061
20230228,BLK,4G,BLK0150_MOUANGJAM,Xaichamphone,6,0,0,0,0,,Cell,104.832,18.6094
20230321,VTE,2G,VTE0182_KHAMNGOI,Xaisettha,3,0,0,0,0,,Cell,102.68993,17.97814
20230228,VTE,4G,VTE0436_KHOK_NOY2,XAITHANY,14,0,0,0,0,,Cell,102.68796,18.034339
20230228,VTE,4G,VTE0425_HUANA,Xaithani,3,0,0,0,0,,Cell,102.756501,18.2643
20230321,HUP,3G,HUP0007_SAMOSONE_PROVINCE,Xam-Nua,6,0,0,0,0,,Cell,104.04393,20.42456
20230228,KHM,4G,KHM0208_PANAM,Boualapha,6,0,0,0,0,,Cell,105.844267,17.135375
20230321,VTP,4G,VTP0034_THAKOKHAIR,Phonhong,8,0,0,0,0,,Cell,102.4574,18.4276
20230321,SVN,4G,SVN0113_PHINNEUA,OUTHOUMPHON,13,0,0,0,0,,Cell,105.01264,16.644664
20230321,XKG,2G,XKG0057_NAPAKTON,Laman,2,0,0,0,0,,Cell,106.7445219,15.3024406
20230228,CHP,3G,CHP0306_KM10,Bachiangchareunsouk,6,0,0,0,0,,Cell,105.897631,15.118501
20230321,KHM,4G,KHM0025_TECHNICAL_SC,Thakhek,15,0,0,0,0,,Cell,104.80912,17.38938
20230228,KHM,3G,KHM0251_SIKHODTABONG_FESTIVAL1,Thakhek,1,0,0,0,0,,Cell,NULL,NULL
20230228,ATP,4G,ATP0023_HOSPITAL,Samakkhixai,5,0,0,0,0,,Cell,106.837814,14.802683
20230321,SVN,4G,SVN0037_LAWYER_SC,Kaisone,3,0,0,0,0,,Cell,104.794959,16.545742
20230321,VTE,2G,VTE0192_MEUANG_NOY,Xaisettha,3,0,0,0,0,,Cell,102.67107,17.94267
20230321,SVN,3G,SVN0244_XELANONG,Phin,9,0,0,0,0,,Cell,106.23527,16.3601
20230321,XYL,2G,XYL0161_M_THONGMIXAY,Thongmixai,3,0,0,0,0,,Cell,101.176,18.3999
20230321,HUP,2G,HUP0014_BANKARN,Xam-Nua,4,0,0,0,0,,Cell,103.99918,20.43703
20230228,KHM,3G,KHM0238_NAKAY_HOSPITAL,Nakay,6,0,0,0,0,,Cell,105.145,17.7095
20230228,VTE,4G,VTE0029_NAMPHU,Chanthabouri,14,0,0,0,0,,Cell,102.60785,17.964305
20230228,CHP,3G,CHP0311_KM21,Bachiangchareunsouk,6,0,0,0,0,,Cell,105.9666,15.16345
20230321,UDX,2G,UDX0072_BOUMLOAW,Houn,3,0,0,0,0,,Cell,101.37796,20.07427
20230321,UDX,3G,UDX0095_KULONG,NAMOR,4,0,0,0,0,,Cell,101.84767,20.83432
20230228,CHP,3G,CHP0333_UDOMPHAN,Pathoumphon,6,0,0,0,0,,Cell,105.9308,14.89551
20230321,SVN,3G,SVN0265_VILABOULY,Vilabouri,12,0,0,0,0,,Cell,105.92534,16.98311
20230321,VTP,3G,VTP0270_M_MAED,MEAD,12,0,0,0,0,,Cell,101.9297,18.8299
20230321,VTE,4G,VTE0509_PHONNGARM_THADINDENG2,Xaithani,11,0,0,0,0,,Cell,102.7525,18.16474
20230228,CHP,3G,CHP0145_LIPHEE,KHONG,6,0,0,0,0,,Cell,105.92056,13.96072
20230228,SVN,3G,SVN0210_NAPORT,KAISONE,6,0,0,0,0,,Cell,105.397232,16.917557
20230321,CHP,3G,CHP0343_M_PHATHUMPHONE,Pathoumphon,8,0,0,0,0,,Cell,105.948051,14.841601
20230321,HUP,3G,HUP0043_NALEANG,ADD,8,0,0,0,0,,Cell,104.054785,20.826247
20230321,VTE,4G,VTE0466_NATHOM2,XAITHANY,14,0,0,0,0,,Cell,102.63913,18.05399
20230228,VTE,4G,VTE0581_GOLFLONGBIEN,Hatxayfong,18,0,0,0,0,,Cell,102.692,17.9145
20230228,VTE,4G,VTE0242_XOKKHAM,Xaisettha,11,0,0,0,0,,Cell,102.66659,17.98531
20230321,KHM,4G,KHM0208_VANGNGEUAK,Boualapha,9,0,0,0,0,,Cell,105.844267,17.135375
20230228,PSL,4G,PSL0045_SAMPHANXAY,Samphan,3,0,0,0,0,,Cell,102.162758,21.435173
20230321,ATP,4G,ATP0054_M_SANXAY,Sanxai,6,0,0,0,0,,Cell,107.055824,14.919605
20230228,BLK,2G,BLK0090_SAMTERY,KHAMKERT,2,0,0,0,0,,Cell,104.968835,18.288694
20230228,SVN,4G,SVN0275_NADAENG,XAIBOULY,10,0,0,0,0,,Cell,104.960861,17.008801
20230228,VTE,4G,VTE0022_HOUYHONG3,Chanthabouri,9,0,0,0,0,,Cell,102.61245,18.01632
20230228,KHM,3G,KHM0214_THALANG,Boualapha,6,0,0,0,0,,Cell,105.762,17.6666
20230228,VTP,4G,VTP0065_KERNTAI,Thourakhom,10,0,0,0,0,,Cell,102.5725,18.3539
20230228,XYL,3G,XYL0045_NONSAVANH,Xaiyabouly,6,0,0,0,0,,Cell,101.6796,19.20864
20230228,XYL,3G,XYL0031_NAMKHONG_DAM2,Xaiyabouly,4,0,0,0,0,,Cell,101.81401,19.24183
20230228,CHP,2G,CHP0013_PHONNGAM,Pakxe,3,0,0,0,0,,Cell,105.782,15.1409
20230228,ATP,2G,ATP0004_SAMAKIXAI,Samakkhixai,3,0,0,0,0,,Cell,106.847641,14.807268
20230228,SVN,3G,SVN0026_KM12,Kaisone,6,0,0,0,0,,Cell,104.823,16.6245
20230228,VTE,3G,VTE0542_THANAK,Xaithani,6,0,0,0,0,,Cell,102.75351,18.08767
20230321,LNT,4G,LNT0012_NONGBUAVIENG,Louang-Namtha,5,0,0,0,0,,Cell,101.408741,20.998784
20230228,VTE,3G,VTE0340_NANGA,Naxaythong,8,0,0,0,0,,Cell,102.483,18.2405
20230321,CHP,2G,CHP0235_NONNGANGNGAI,Soukhouma,3,0,0,0,0,,Cell,105.71997,14.68526
20230228,LNT,3G,LNT0001_LTC_OFFICE,Louang-Namtha,12,0,0,0,0,,Cell,101.408997,21.003868
20230228,LNT,4G,LNT0041_DK17,LOUANGNAMTHA,3,0,0,0,0,,Cell,101.669021,21.017397
20230228,KHM,2G,KHM0194_PHONMEUNG,Mahaxai,2,0,0,0,0,,Cell,105.32906,17.22819
20230228,SVN,3G,SVN0166_DONGDOKMAI,CHAMPHONE,6,0,0,0,0,,Cell,105.131325,16.525749
20230321,VTE,4G,VTE0473_NONBUA,XAITHANY,6,0,0,0,0,,Cell,102.729,18.1043
20230321,SVN,4G,SVN0309_NONGKOP,Xepon,3,0,0,0,0,,Cell,106.133694,16.694493
20230321,BLK,2G,BLK0043_SONGKHONE,PAKSAN,2,0,0,0,0,,Cell,103.70612,18.475123
20230228,ATP,3G,ATP0031_BANXAISI,Xaisettha,6,0,0,0,0,,Cell,106.886308,14.792694
20230321,BLK,4G,BLK0068_NAKADOK,Khamkeut,2,0,0,0,0,,Cell,105.153,18.1536
20230321,SVN,2G,SVN0251_ANGKHAM,KAISONE,3,0,0,0,0,,Cell,106.11998,16.970245
20230321,CHP,2G,CHP0317_TALAD_KM8,Bachiangchareunsouk,3,0,0,0,0,,Cell,105.88604,15.11405
20230321,XYL,3G,XYL0036_NAMONE,Xaiyabouly,3,0,0,0,0,,Cell,101.64796,19.47512
20230228,KHM,2G,KHM0190_MANH,Mahaxai,4,0,0,0,0,,Cell,105.470879,17.343914
20230228,UDX,4G,UDX0055_BANKHONE2,BENG,2,0,0,0,0,,Cell,101.41631,20.11163
20230321,VTP,4G,VTP0247_NONGSAN,Kasi,2,0,0,0,0,,Cell,102.0066,19.1392
20230228,XYL,2G,XYL0112_HOUYKHA,Kenthao,3,0,0,0,0,,Cell,101.26385,17.796767
20230228,BLK,2G,BLK0017_NACHIK,PAKSAN,3,0,0,0,0,,Cell,103.682634,18.404634
20230228,VTE,2G,VTE0415_DONTIOU,XAITHANY,3,0,0,0,0,,Cell,102.671,18.0782
20230228,KHM,4G,KHM0085_PHONNADEE,Thakhek,1,0,0,0,0,,Cell,104.8243,17.22657
20230321,XKH,4G,XKH0087_KANGVIENG,Mok-Mai,5,0,0,0,0,,Cell,103.988245,19.930057
20230321,LPB,2G,LPB0175_BANVANGHEUNG,Viengkham,2,0,0,0,0,,Cell,102.87761,20.45239
20230321,XKH,4G,XKH0057_CHOMTHONG,Kham,3,0,0,0,0,,Cell,103.57006,19.620468
20230321,VTP,4G,VTP0125_PHONSOUNG_RURALSTAR_HIGHTWAY,Hinheup,1,0,0,0,0,,Cell,102.3981,18.7511
20230228,VTP,4G,VTP0141_VANGVIENG_THE_MOON,Vangvieng,7,0,0,0,0,,Cell,102.4524,18.9264
20230228,XKH,3G,XKH0118_PONGVAN,Pek,8,0,0,0,0,,Cell,103.038073,19.39926
20230228,CHP,4G,CHP0247_NONPAJAO,SOUKHOUMA,3,0,0,0,0,,Cell,105.712742,15.10236
20230228,ATP,4G,ATP0067_SOUANKOUY,Sanamxai,4,0,0,0,0,,Cell,106.187968,14.757152
20230228,VTE,4G,VTE0720_THAXANG,Pak-Ngum,6,0,0,0,0,,Cell,102.9202,18.20255
20230321,SLV,2G,SLV0007_NAKOK,SALAVAN,3,0,0,0,0,,Cell,106.41073,15.69469
20230228,CHP,4G,CHP0121_PHOUMONE,Pakxe,8,0,0,0,0,,Cell,105.813215,15.113025
20230228,SVN,4G,SVN0280_PAKXEBUNGPHAI,XAIBOULY,2,0,0,0,0,,Cell,104.744263,16.942789
20230321,XYL,3G,XYL0149_DOKKET,NGEUN,3,0,0,0,0,,Cell,101.04491,19.69776
20230228,LPB,4G,LPB0164_M_PHONXAI,Phonxai,9,0,0,0,0,,Cell,102.546,19.9502
20230228,SVN,3G,SVN0317_KABAO,XONNABOURY,6,0,0,0,0,,Cell,105.428,16.4527
20230321,BOK,3G,BOK0016_MIXAISAVANG,Houayxay,6,0,0,0,0,,Cell,100.4142,20.2673
20230228,VTE,3G,VTE0450_KM8_SOUTH,Xaithani,6,0,0,0,0,,Cell,102.65443,18.02595
20230321,VTE,4G,VTE0283_PHANMAN,Sisattanak,9,0,0,0,0,,Cell,102.61758,17.92741
20230228,BLK,3G,BLK0072_NAMPARN,Khamkeut,6,0,0,0,0,,Cell,105.036242,18.186798
20230228,UDX,2G,UDX0066_PANGYOM,Beng,4,0,0,0,0,,Cell,101.7077,20.3618
20230321,VTE,3G,VTE0140_VANHSANA_HOTEL,Sikhottabong,12,0,0,0,0,,Cell,102.596948,17.96565
20230321,LNT,2G,LNT0093_TAOHOM,Long,2,0,0,0,0,,Cell,100.7526,20.93466
20230228,XKH,4G,XKH0111_NAMXONG,Phoukout,2,0,0,0,0,,Cell,103.974256,19.548292
20230228,VTE,3G,VTE0063_VIENTIANE_COLLEGE,Xaisettha,8,0,0,0,0,,Cell,102.625,17.9732
20230321,BOK,3G,BOK0074_MEILONGHUA6,Tonpheung,6,0,0,0,0,,Cell,100.108638,20.340704
20230321,BLK,3G,BLK0176_VATTHAT,Borikhan,8,0,0,0,0,,Cell,103.71142,18.55427
20230228,CHP,3G,CHP0413_NAMPHARK_DAM,Pakxong,3,0,0,0,0,,Cell,106.17783,15.074434
20230228,XKH,2G,XKH0025_PHONHKHRAM,Pek,5,0,0,0,0,,Cell,103.529477,19.539723
20230321,UDX,3G,UDX0049_PHOUPHAPERNG,XAY,6,0,0,0,0,,Cell,102.112075,20.574401
20230321,VTE,4G,VTE0217_PHONPHANAO3,Xaisettha,10,0,0,0,0,,Cell,102.638344,17.990004
20230228,VTP,4G,VTP0089_DK62_CAPM2,Vangvieng,7,0,0,0,0,,Cell,102.3587,19.1217
20230321,VTE,3G,VTE0203_NONGBONE,Xaisettha,8,0,0,0,0,,Cell,102.63,17.9761
20230321,VTP,4G,VTP0231_VANGKHI_HIGHWAY,Vangvieng,4,0,0,0,0,,Cell,102.4102,18.77597
20230321,KHM,3G,KHM0120_NONGBONE,BOUALAPHA,4,0,0,0,0,,Cell,105.886874,17.107064
20230228,VTE,3G,VTE0210_NONSANGA,Xaisettha,6,0,0,0,0,,Cell,102.664,17.996
20230321,VTP,4G,VTP0176_PARKPHANG,xanakham,7,0,0,0,0,,Cell,101.6121,17.8985
20230321,LPB,3G,LPB0236_LONGYANG,PHONTHONG,6,0,0,0,0,,Cell,103.207,20.8418
20230321,LPB,4G,LPB0147_NAPHO,Pakxeng,6,0,0,0,0,,Cell,102.53941,20.12786
20230228,XYL,4G,XYL0045_NONSAVANH,Xaiyabouly,3,0,0,0,0,,Cell,101.6796,19.20864
